Organization Name,Organization Name URL,Industries,Headquarters Location,Description,Estimated Revenue Range,Founded Date,Founded Date Precision,Company Type,Full Description,Funding Status,Number of Funding Rounds,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Date,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Number of Investors,Number of Lead Investors,Top 5 Investors,IPO Status,Stock Symbol,Stock Symbol URL,CB Rank (Organization),CB Rank (Company),CB Rank (School),Price,Price Currency,Price Currency (in USD),Total Equity Funding Amount,Total Equity Funding Amount Currency,Total Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Industry Groups,Number of Employees
Platfarm Inc. (mojitok),https://www.crunchbase.com/organization/platfarm,"Digital Media, Information Technology, Internet, Machine Learning, Social Media","Seoul, Seoul-t'ukpyolsi, South Korea",Platfarm helps messaging services to monetize or/and increase user engagement with the visual communication solution.,$1M to $10M,2014.3.14,day,For Profit,"Platfarm Inc. helps messaging services to monetize or/and increase user engagement with the visual communication solution using the AI-based algorithm and the open platform for sticker creators. Their service brand name is ""mojitok,"". ",Seed,2,2000000,USD,2000000,2018.11.7,Seed,2000000,USD,2000000,2,1,"Samsung Ventures, InfoBank",Private,,,"19,871","19,226",,,,,2355935,USD,2355935,2355935,USD,2355935,"Artificial Intelligence, Data and Analytics, Information Technology, Internet Services, Media and Entertainment, Software",11-50
croquis.com,https://www.crunchbase.com/organization/croquis-com,"E-Commerce, Fashion, Mobile Apps","Seoul, Seoul-t'ukpyolsi, South Korea","Creator of ZIGZAG, Korea's top shopping meta-service app for women. ZIGZAG finds a user's style across thousands of online shops.",$1M to $10M,2012.1.1,year,For Profit,"Creator of ZIGZAG, Korea's top shopping meta-service app for women. ZIGZAG finds a user's style across thousands of online shops.  ZIGZAG is transforming Korea's Fast Fashion Industry. Users can effortlessly browse and bookmark their favorite shops, and search results are tailored for each individual. Retailers have their items automatically synced to match ZIGZAG's UI/UX. ZIGZAG constantly updates new items and prices to keep everyone on the same page. Staying stylish has never been so easy.",Early Stage Venture,2,7000000000,KRW,6162297,2017.5.4,Series B,7000000000,KRW,6162297,2,2,"Altos Ventures, Stonebridge Capital",Private,,,"19,935","19,288",,,,,8762297,USD,8762297,8762297,USD,8762297,"Apps, Clothing and Apparel, Commerce and Shopping, Design, Mobile, Software",51-100
Npixel,https://www.crunchbase.com/organization/npixel,"Computer, Gaming, PC Games","Seoul, Seoul-t'ukpyolsi, South Korea",Npixel is a computer game developer company.,$1M to $10M,2017.9.1,month,For Profit,"Npixel was formed in September 2017 by a group of developers who previously worked on Seven Knights, a popular Netmarble mobile game. Its first game, Gran Saga, is scheduled for release in South Korea in the first half of 2020.",Early Stage Venture,1,30000000000,KRW,25885946,2020.1.10,Series A,30000000000,KRW,25885946,4,2,"Krafton, Altos Ventures, Bluehone Ventures, Saehan Startup Investment",Private,,,"20,043","19,395",,,,,30000000000,KRW,25885946,30000000000,KRW,25885946,"Consumer Electronics, Gaming, Hardware",51-100
Mesh Korea,https://www.crunchbase.com/organization/mesh-korea,"Delivery Service, IT Infrastructure, Logistics","Seoul, Seoul-t'ukpyolsi, South Korea",Mesh Korea is a highly IT-oriented online logistics company that mainly focuses on developing online real-time same-day delivery platforms.,$1M to $10M,2013.1.18,day,For Profit,"Mesh Korea is an IT-based logistics startup, which established Korea's first last-mile logistics network and became the primary provider of integrated logistics services with in-house logistics solutions. VROONG, Mesh Korea's logistics brand, creates new value not only by providing delivery services, but also by connecting information. Currently, VROONG provides four services; premium delivery services, 'VROONG Prime', integrated logistics management solution, 'VROONG TMS', premium fresh food delivery services, 'VROONG Fresh', and premium delivery magazine, 'VROONG Collection.' With more than 80 VROONG Stations and 13,000 riders across the nation, VROONG provides faster and more accurate delivery services.",Late Stage Venture,6,33100000,USD,33100000,2018.8.30,Series E,33100000,USD,33100000,11,2,"Naver Corporation, Mirae Asset Global Investments, Hyundai Motor Company, SBI Investment, Shinhan Capital",Private,,,"20,127","19,477",,,,,75800000,USD,75800000,75800000,USD,75800000,"Information Technology, Transportation",101-250
Iconloop,https://www.crunchbase.com/organization/iconloop,"Blockchain, Cryptocurrency, Internet","Seoul, Seoul-t'ukpyolsi, South Korea",Iconloop is a Blockchain company,,2016.1.1,year,For Profit,"ICONLOOP, Inc. is a blockchain-specialized tech company based in Seoul, South Korea. Founded in May 2016, ICONLOOP provides the entire technical support to the leading global blockchain project, ICON. ICONLOOP aims to acquire both scalability and security in existing platforms and maximize the utility of blockchain technology with SCORE Smart Contract, LFT Algorithm, Tiered System, Multi Channel and Modular Architecture. Based on self-developed blockchain engine, loopchain, ICONLOOP, as a technology partner of Korea Financial Investment Association, Kyobo Life Insurance, and P-HIS consortium, leads diverse innovations in financial transactions, digital currency and IoT(Internet of Things).",Early Stage Venture,1,10000000000,KRW,8404632,2019.10.10,Series A,10000000000,KRW,8404632,2,2,"TS Investment, Korea Technology Finance Corporation",Private,,,"20,497","19,836",,,,,10000000000,KRW,8404632,10000000000,KRW,8404632,"Financial Services, Internet Services, Other, Payments, Software",51-100
Class101,https://www.crunchbase.com/organization/pedaling,Information Technology,"Ulsan, Kyongsang-bukto, South Korea",Class101 is an online platform where people can make and enjoy hobbies.,Less than $1M,2015.1.1,year,For Profit,,Early Stage Venture,2,10500000,USD,10500000,2019.4.11,Series A,10500000,USD,10500000,5,1,"Softbank Ventures Asia, Mirae Asset Venture Investment, Strong Ventures, Blaine Vess, KT investment Inc.",Private,,,"20,728","20,061",,,,,10500000,USD,10500000,10500000,USD,10500000,Information Technology,11-50
Kmong,https://www.crunchbase.com/organization/kmong,"Business Development, E-Commerce, Internet, Mobile, Music, Online Portals, Software","Gyeongsan, Kyongsang-bukto, South Korea","Kmong is a Korean online talent market enabling individuals to sell and buy services in design, business, computing, music, and more.",$1M to $10M,2012.6.1,day,For Profit,"Kmong () is a Korean online talent market that enables individuals to both sell and buy services. Its categories include design, marketing, document, business, computer, music and video, life services, and handmade. Users can post up their services with a price quote on the appropriate category, which will be seen and picked up by prospective buyers. Its mobile application is available for Android devices. Kmong was established in June 2012 in Gyeongsangnam-do, Korea.",Seed,1,700000000,KRW,600036,2015.8.7,Seed,700000000,KRW,600036,,,,Private,,,"20,770","20,100",,,,,700000000,KRW,600036,700000000,KRW,600036,"Commerce and Shopping, Internet Services, Media and Entertainment, Mobile, Music and Audio, Professional Services, Software",11-50
"Sentbe, Inc.",https://www.crunchbase.com/organization/sentbe,"Finance, FinTech, Payments","Busan, Pusan-jikhalsi, South Korea","Sentbe offers a faster, cheaper, and easier way to transfer money abroad.",$1M to $10M,2015.1.1,year,For Profit,"Sentbe is creating finance without borders. As a fintech money transfer service, Sentbe provides an easier, faster, and more convenient way to transfer money abroad.",Early Stage Venture,4,5500000000,KRW,4863258,2019.1.22,Series B,5500000000,KRW,4863258,7,1,"SparkLabs Accelerator, Stonebridge Capital, D3 Jubilee, Stonebridge Ventures, Leo Partners Investment",Private,,,"20,832","20,159",,,,,8363258,USD,8363258,8363258,USD,8363258,"Financial Services, Payments",11-50
Urbanbase,https://www.crunchbase.com/organization/hud-inc,"Artificial Intelligence, Cloud Storage, Collaboration, Computer Vision, Construction, Geospatial, Information Technology, Software","Seoul, Seoul-t'ukpyolsi, South Korea",Urbanbase offers VR/AR tools for architecture and interior design with its patented algorithm and data ,Less than $1M,2014.6.11,day,For Profit,"We provide a platform of VR and AR tools for architecture and interior design. Urbanbase has patented technology of creating 2D floorplans in 3D, AR and VR,  in just a few seconds. Urbanbase offers B2C VR home furnishing platform and AR mobile application for revolutionary interior design experience, as well as B2B sales tool based on internally developed 3D, AR, VR APIs for various types of businesses such as real estate, home designing, retail and many more. Current clients include LG, iLoom, Daelim and over 40 interior / furniture companies.  ",Early Stage Venture,6,1000000000,KRW,838419,2019.5.21,Series A,1000000000,KRW,838419,10,2,"SparkLabs Accelerator, SparkLabs Global Ventures, Shinhan Financial Group, Capstone Partners Co., Ltd., KDB Capital",Private,,,"21,066","20,388",,,,,5138419,USD,5138419,5138419,USD,5138419,"Artificial Intelligence, Data and Analytics, Hardware, Information Technology, Internet Services, Navigation and Mapping, Other, Real Estate, Science and Engineering, Software",11-50
Dable,https://www.crunchbase.com/organization/dable,"Computer, Internet, Personalization","Seoul, Seoul-t'ukpyolsi, South Korea","Dable, Inc. is B2B Omni-channel Personalization Platform.",$1M to $10M,2015.1.1,year,For Profit,"Dable, Inc. is B2B Omni-channel Personalization Platform that provides products and contents that users are likely to want to reach by gathering their behavioral logs in online and offline. With experience developing online recommendation platform as a team _ecoPick in SK planet for 2 years, which has been the pioneer and the best recommendation platform in Korea, they are now aiming to expand their personalization service from online to offline to enrich people_ lifestyle.",Early Stage Venture,3,6000000000,KRW,5602450,2018.4.12,Series B,6000000000,KRW,5602450,6,2,"Kakao Ventures, Samsung Ventures, Stonebridge Capital, SK Planet, DSC Investment",Private,,,"21,224","20,541",,,,,7700000000,KRW,7132203,7700000000,KRW,7132203,"Commerce and Shopping, Consumer Electronics, Hardware, Internet Services",11-50
Adriel,https://www.crunchbase.com/organization/adriel,"Advertising, Artificial Intelligence, Digital Marketing, Small and Medium Businesses","Seoul, Seoul-t'ukpyolsi, South Korea",Your dedicated online marketing team backed by AI. Expert services starting from $2 a day.,$1M to $10M,2017.12.20,day,For Profit,"Adriel.ai is an AI powered marketing platform. It was built for SMEs and Start-Ups with ambition, but perhaps not the time, resources or huge budgets to devote to marketing. That's where Adriel can help.  Simply tell Adriel a few things about your business and Adriel designs and creates ads, runs ads on multiple platforms and improves performance over time, all automatically with any budget. Founded in South Korea, and now live all around the world, Adriel has more than thousands of signed up customers running campaigns across Google, Facebook and Instagram.  The service provides easy access to Google, Facebook and Instagram on a PAYG basis making digital advertising possible for the smallest ambitious enterprises.  Let Adriel take care of your marketing and get more customers now.",Early Stage Venture,2,5000000,USD,5000000,2019.6.26,Series A,5000000,USD,5000000,6,2,"Naver Corporation, Woowa Bros, Korea Investment Partners, Spring Camp, BA Partners",Private,,,"21,262","20,578",,,,,6500000,USD,6500000,6500000,USD,6500000,"Advertising, Artificial Intelligence, Data and Analytics, Other, Sales and Marketing, Science and Engineering, Software",11-50
LG Electronics,https://www.crunchbase.com/organization/lg,"Consumer Electronics, Electronics, Hardware, Information Technology, Telecommunications","Seoul, Seoul-t'ukpyolsi, South Korea",LG Electronics is a South Korean multinational company which includes LG Electronics.,$10M to $50M,1958.10.1,month,For Profit,"LG is a South Korean multinational company which includes LG Electronics. LG Englewood Cliffs is a new building initiative that protects the palisades and creates homes for the growing U.S. workforce. The company is focused on delivering products and services that make lives better, easier and happier though increased functionality and fun. It strives for greatness in product leadership, market leadership, and people leadership to realize our growth strategies.",IPO,,,,,,,,,,,,,Public,66570,https://www.crunchbase.com/ipo/lg-ipo--e3018f8f,"21,314","20,630",,,,,,,,,,,"Consumer Electronics, Hardware, Information Technology",10001+
Tera Funding,https://www.crunchbase.com/organization/tera-funding,"Financial Services, Real Estate, Real Estate Investment","Seoul, Seoul-t'ukpyolsi, South Korea","Tera Funding is a real estate investment firm in Seoul, South Korea.",$1M to $10M,2014.1.1,year,For Profit,"Tera Funding is a real estate investment firm in Seoul, South Korea. Tera Funding is a real estate P2P financial company that offers an online platform for small investors to provide first-tier small and medium-sized construction loans to businesses.",Early Stage Venture,3,18000000,USD,18000000,2019.9.16,Series B,18000000,USD,18000000,9,2,"SBI Investment, KB Investment, Atinum Investment, Bon Angels Venture Partners, Industrial Bank of Korea",Private,,,"21,700","21,000",,,,,28391578,USD,28391578,28391578,USD,28391578,"Financial Services, Real Estate",11-50
IGAWorks,https://www.crunchbase.com/organization/igaworks,"Advertising, Analytics, Big Data, Marketing, Mobile Apps","Seoul, Seoul-t'ukpyolsi, South Korea",Full Stack ad-tech company for digital marketing,$1M to $10M,2006.12.1,day,For Profit,"IGAWorks is an full stack ad-tech company founded on 2006, and we are a group of industry-leading global services for the smart success of digital marketing and mobile businesses. We provide full-stack of ad-tech services which follows: _radingworks, agency trade desk offering media, audience, performance as total advertisement service; _dbrix, an all-in-one data platform which leads the growth of mobile businesses with data based on the ad performance and user data; _dPOPcorn, the biggest ad network in Korea; _obile Index, mobile app market analytics platform; _ampaign Intelligence, reporting tool which dramatically lessens marketer_ reporting workload. Today, more than 30,000 mobile apps are utilizing the solutions of IGAWorks for their growth of businesses.",Late Stage Venture,4,18500000,USD,18500000,2019.2.15,Series D,18500000,USD,18500000,6,,"Softbank Ventures Asia, Korea Investment Partners, Atinum Investment, KDB Capital, Hanwha Investment Corp",Private,,,"21,707","21,006",,,,,38500000,USD,38500000,38500000,USD,38500000,"Advertising, Apps, Data and Analytics, Mobile, Sales and Marketing, Software",51-100
Caret Games,https://www.crunchbase.com/organization/caret-games,"Gaming, MMO Games, Mobile, Online Games, Software","Seoul, Seoul-t'ukpyolsi, South Korea","Caret Games is Mobile Game Start up. MMORPG, RebirthM",$1M to $10M,2015.6.24,day,For Profit,"Caret Games is a company specialized in developing mobile games with over 50 employees based on South Korea.  The company consists of talented developers and they are developing games with passion. Caret Games developed Full3D mobile MMORPG _ebirthM in the end of 2017. The company is trying to make a game which many people can enjoy and play for a long time, and the first is _ebirthM.  Caret Games services 'RebirthM' directly in South Korea and is currently preparing for global service. About ""Rebirth M""! The game also known as Rebirth: Shadow of Salvation, is a mobile MMORPG that_ supposed to rival PC MMORPGs. Made with Unity3D, the game boasts high graphics and PC-like gameplay experience. Now that it_ been more than a year since its announcement in South Korea, the game is finally out in Brazil which a global release will follow suit later.",,1,28000000,USD,28000000,2018.1.5,Venture - Series Unknown,28000000,USD,28000000,2,2,"SoftBank, SL Investment",Private,,,"21,747","21,044",,,,,28000000,USD,28000000,28000000,USD,28000000,"Gaming, Mobile, Software",11-50
Storets,https://www.crunchbase.com/organization/storets,"E-Commerce, E-Commerce Platforms, Fashion","Seoul, Seoul-t'ukpyolsi, South Korea","Storets was born from a desire to offer trendy, stylish, high quality fashion that doesn't break your wallet.",$1M to $10M,2011.1.1,year,For Profit,"Storets was born from a desire to offer trendy, stylish, high quality fashion that doesn't break your wallet. They believe that the empowered woman can be all things she wants - strong, fierce, soft, and feminine, and embraces her inner beauty!  They offer only in-house designs or carefully selected fashion items from cutting edge labels that are sophisticated and elegant while at the same time vibrant and playful. They call this ""Sophisticated Fun""! At storets, they value creativity and originality. They cater to fashion-forward women around the world and keep them at the heart of everything they do. Their commitment to staying ahead of the trend and introducing unique styles to their loyal fans has continued to be driving forces. As much as they are devoted to hard work, they never forget to have fun!",Seed,1,1000000000,KRW,905840,2015.3.27,Seed,1000000000,KRW,905840,2,1,"Bon Angels Venture Partners, Big Basin Capital",Private,,,"21,756","21,053",,,,,1000000000,KRW,905840,1000000000,KRW,905840,"Clothing and Apparel, Commerce and Shopping, Design, Internet Services",11-50
Kakao Mobility,https://www.crunchbase.com/organization/kakao-mobility,"Internet, Taxi Service","Seongnam, Kyonggi-do, South Korea",Kakao Mobility provides online taxi-hailing and parking services.,,2017.8.17,day,For Profit,"Kakao Mobility provides online taxi-hailing and parking services. Kakao Mobility brands include Kakao Taxi, Kakao Driver, and Kakao Navi. Kakao Mobility also provides its services.",,1,50000000000,KRW,46699730,2018.2.26,Venture - Series Unknown,50000000000,KRW,46699730,2,2,"TPG, Hong Kong Monetary Authority",Private,,,"21,837","21,133",,,,,50000000000,KRW,46699730,50000000000,KRW,46699730,"Internet Services, Transportation",
HelloNature,https://www.crunchbase.com/organization/hellonature,"Grocery, Hospitality, Shopping","Seoul, Seoul-t'ukpyolsi, South Korea","HelloNature, a Korean_agri-product_distributor, allows clients_to order fresh fruits, vegetables, and dairy products from farmers.",Less than $1M,2012.1.1,year,For Profit,"HelloNature (_れ_觳)_is a Korean agriculture-based distribution service that allows consumers to order fresh fruits, vegetables, dairy products, and meat directly from farmers.",M&A,3,2100000,USD,2100000,2015.12.30,Series B,2100000,USD,2100000,4,2,"Softbank Ventures Asia, Fast Track Asia, Mirae Asset Venture Investment, GS Shop",Private,,,"21,988","21,281",,,,,3500000,USD,3500000,3500000,USD,3500000,"Commerce and Shopping, Food and Beverage, Travel and Tourism",1岿 10老
SparkPlus,https://www.crunchbase.com/organization/sparkplus,Real Estate,"Seoul, Seoul-t'ukpyolsi, South Korea",SparkPlus is a coworking space operator.,$10M to $50M,2016.1.1,year,For Profit,,Early Stage Venture,2,30000000000,KRW,25232772,2019.12.11,Series B,30000000000,KRW,25232772,11,,"Mirae Asset Venture Investment, Stic Investment, InterVest Co., Aju IB Investment, InterVest",Private,,,"22,137","21,426",,,,,50000000000,KRW,43060626,50000000000,KRW,43060626,Real Estate,11-50
SOS LAB,https://www.crunchbase.com/organization/sos-lab,"Automotive, Autonomous Vehicles, Drone Management, Drones, Indoor Positioning, Industrial Automation, Manufacturing, Mapping Services, Public Safety, Sensor","Gwangju, Kwangju-jikhalsi, South Korea",SOS LAB is a technology company that manufactures LiDAR sensor products.,$1M to $10M,2016.6.22,day,For Profit,"SOS Lab, a LiDAR development company focusing on core technology for self-driving cars, plans to present its differentiated hybrid LiDAR system, the SL-1 SOS LAB's long-range, hybrid scanning design combines the advantages of the widely-used motor scanning system with a solid-state MEMS mirror, and will be offered at a much lower price point compared to traditional LiDAR products on the market today. SL-1 is expected to play an important role in the popularization and accessibility of self-driving cars. In addition to the SL-1, SOS LAB offers two additional LiDAR products designed to integrate safe, effective, and affordable LiDAR technology into various industries: the GL-3 for factory automation and robotics, and the TL-3 for security and automatic doors.  SOS LAB is also focusing on combining hardware-based sensors and AI-based object recognition and tracking technology using 3D point cloud LiDAR data, and plans to provide LiDAR data space/object recognition solutions for self-driving vehicles. SOS LAB includes jointly developing their hybrid LiDAR with a partner automotive electronic equipment field company, continuing to develop the next generation of Solid-State-LiDAR with global semiconductor companies to overstep the limits of OPA-method LiDAR, and extending the global footprint of SOS LAB to provide the smartest solutions for self-driving and ADAS markets.  SOS LAB is planning to enter global markets based on its R&D centers in Seoul and Gwangju and business centers in Silicon Valley.",Early Stage Venture,3,8000000,USD,8000000,2020.3.30,Series A,8000000,USD,8000000,13,3,"Hancom, Mirae Asset Venture Investment, Korea Development Bank, FuturePlay, Shinhan Financial Group",Private,,,"22,245","21,530",,,,,14610000,USD,14610000,14610000,USD,14610000,"Consumer Electronics, Consumer Goods, Government and Military, Hardware, Manufacturing, Navigation and Mapping, Science and Engineering, Software, Transportation",11-50
